,url,data,Contem
https://liberal.com.br/?p=1336913,https://liberal.com.br/?p=1336913,2020-10-16,{'sindicato'}
https://liberal.com.br/?p=1292966,https://liberal.com.br/?p=1292966,2020-08-26,{'sindicato'}
https://liberal.com.br/?p=1182511,https://liberal.com.br/?p=1182511,2020-04-15,set()
https://liberal.com.br/?p=1120493,https://liberal.com.br/?p=1120493,2019-12-13,{'sindicato'}
https://liberal.com.br/?p=1413609,https://liberal.com.br/?p=1413609,2021-01-16,{'sindicato'}
https://liberal.com.br/?p=1413457,https://liberal.com.br/?p=1413457,2021-01-16,{'sindicato'}
https://liberal.com.br/?p=1406610,https://liberal.com.br/?p=1406610,2021-01-08,{'sindicato'}
https://liberal.com.br/?p=1371912,https://liberal.com.br/?p=1371912,2020-11-25,{'sindicato'}
https://liberal.com.br/?p=1366284,https://liberal.com.br/?p=1366284,2020-11-18,set()
https://liberal.com.br/?p=1342522,https://liberal.com.br/?p=1342522,2020-10-22,{'sindicato'}
https://liberal.com.br/?p=1327461,https://liberal.com.br/?p=1327461,2020-10-04,{'sindicato'}
